organisation,transparency_reg_id,source_type,preproposal_meetings_total,preproposal_meetings_commission,preproposal_meetings_ep,article_type,article_number,article_title,similarity_score,provision_effect,label,reasoning,n_chunks,conflict
Civil Liberties Union for Europe,544892227334-39,hys_feedback,0,0,0,article,4,Review of the status of gatekeepers,0.856266,"Establishes a mechanism for the Commission to review, amend, or repeal gatekeeper designations, and requires regular reviews at least every two years to assess whether designated gatekeepers continue to meet the criteria.",NOISE,"The organisation's text expresses a general welcome for the Commission's initiative and argues that large platforms act as ""fundamental rights gatekeepers"" beyond mere economic gatekeepers, but it does not take any specific stance on the review mechanism for gatekeeper designations established in Article 4. The org's position is a broad framing argument about the scope of the regulation, not a directional advocacy position on the periodic review or amendment of gatekeeper status decisions.",1,False
Civil Liberties Union for Europe,544892227334-39,hys_feedback,0,0,0,article,9,Exemption for overriding reasons of public interest,0.866738,"Establishes a mechanism allowing the Commission to exempt gatekeepers from specific obligations under Articles 5 and 6 on grounds of public morality, public health, or public security, including provisional suspension of obligations.",NOISE,"The organisation's text expresses a general concern that large online platforms act as ""fundamental rights gatekeepers"" affecting privacy, data protection, and freedom of expression, but does not take any specific stance on exemption mechanisms or the grounds for suspending gatekeeper obligations. The org's position is a broad framing argument about the scope of the regulation, not a directional advocacy position on the exemption procedure established by Article 9.",1,False
Computer & Communications Industry Association (CCIA Europe),15987896534-82,hys_feedback,0,0,0,article,15,Market investigation for designating gatekeepers,0.873377,"Establishes a market investigation procedure for the Commission to designate providers of core platform services as gatekeepers, including timelines and preliminary findings requirements.",NOISE,"The org text discusses R&D spending levels, innovation in large ecosystems, and the Platform-to-Business Regulation's relevance to the Commission's analysis — it does not express any specific advocacy position on the market investigation procedure, timelines, or gatekeeper designation process established in Article 15. The content is background context and a general methodological critique with no directional stance on this provision's subject matter.",1,False
Computer & Communications Industry Association (CCIA Europe),15987896534-82,hys_feedback,0,0,0,article,32,Digital Markets Advisory Committee,0.842206,"Establishes the Digital Markets Advisory Committee to assist the Commission, defining its procedural rules including written procedure termination, communication of opinions alongside individual decisions, and the applicable comitology procedure under Regulation (EU) No 182/2011.",NOISE,"The org text contains only general endorsements of EU-level action to prevent regulatory fragmentation and support for the Commission's policy objectives, with no specific advocacy position on the creation, composition, powers, or procedures of an advisory committee. The org's text does not address institutional governance mechanisms like the Digital Markets Advisory Committee in any directional way.",1,False
Computer & Communications Industry Association (CCIA Europe),15987896534-82,hys_feedback,0,0,0,article,33,Request for a market investigation,0.844923,"Establishes a mechanism whereby three or more Member States can jointly request the Commission to open a market investigation into whether a provider of core platform services should be designated as a gatekeeper, with the Commission required to examine the request within four months.",NOISE,"The org text discusses R&D spending by large platforms, innovation levels, and the Platform-to-Business Regulation's relevance to the Commission's analysis — it does not express any specific advocacy position on the mechanism of Member States requesting market investigations or gatekeeper designation procedures. The text contains no directional stance on Article 33's subject matter.",1,False
Danish Chamber of Commerce,0330934426-12,hys_feedback,0,0,0,article,1,Subject-matter and scope,0.871119,"Establishes the subject matter and scope of the Digital Markets Act, applying harmonised rules to gatekeepers providing core platform services to users in the Union, while preempting additional Member State obligations and preserving existing competition law frameworks.",NOISE,"The organisation's text is largely introductory and background-descriptive, expressing a general desire for a regulatory framework that supports retailers and ensures a level playing field, but it does not take a specific directional stance on the scope, preemption rules, or jurisdictional provisions established in Article 1. The text cuts off mid-sentence and contains no concrete advocacy position that can be evaluated against what the provision specifically does.",1,False
Danish Chamber of Commerce,0330934426-12,hys_feedback,0,0,0,article,10,Updating obligations for gatekeepers,0.866798,Empowers the Commission to adopt delegated acts to update gatekeeper obligations in Articles 5 and 6 based on market investigations identifying new unfair or contestability-limiting practices.,UNDETECTABLE,"The org expresses caution about revising the Platform-to-Business Regulation prematurely and recommends waiting to assess its effectiveness before updating the framework — a position that could be read as opposing hasty updates to gatekeeper obligations. However, Article 10 establishes a structured, evidence-based mechanism (market investigation + delegated acts) for updating obligations, which partially addresses the org's concern about premature revision. It is genuinely unclear whether the org would view this safeguarded update mechanism as satisfying or contradicting their call for restraint.",1,False
Danish Chamber of Commerce,0330934426-12,hys_feedback,0,0,0,article,11,Anti-circumvention,0.859761,"Establishes anti-circumvention obligations requiring gatekeepers to fully comply with Articles 5 and 6, prohibiting degradation of services for users exercising their rights, and setting rules on consent for data processing.",NOISE,"The organisation's text focuses on definitional clarity of ""gatekeeper,"" coordination with competition law, and concerns about premature revision of the Platform-to-Business Regulation — none of which constitute a specific advocacy position on anti-circumvention obligations, data consent mechanisms, or the prohibition on degrading service quality. The org text does not address the subject matter of Article 11 in any directional way.",1,False
Danish Chamber of Commerce,0330934426-12,hys_feedback,0,0,0,article,12,Obligation to inform about concentrations,0.850044,"Requires gatekeepers to notify the Commission of any intended concentration involving another provider of core platform services or digital sector services, including details on turnover, users, and rationale, prior to implementation.",NOISE,"The organisation's text contains only general advocacy for a level playing field, legal certainty, and enforcement of EU rules against large online platforms, with no specific position on merger notification or concentration reporting obligations for gatekeepers. The text is largely introductory and does not express any directional stance on the subject matter of Article 12.",1,False
Danish Chamber of Commerce,0330934426-12,hys_feedback,0,0,0,article,15,Market investigation for designating gatekeepers,0.877437,"Establishes a market investigation procedure for the Commission to designate providers of core platform services as gatekeepers, including timelines, preliminary findings, and conditions for early-stage gatekeeper designation.",UNDETECTABLE,"The organisation explicitly calls for clarity on what constitutes a ""platform acting as a gatekeeper,"" which is directly related to the designation process established in Article 15. However, the org's position is focused on definitional clarity and coordination with competition law, not on the specific procedural mechanics (timelines, preliminary findings, early-stage designation) that Article 15 establishes — making it genuinely unclear whether the provision satisfies, contradicts, or ignores the org's concern.",1,False
Danish Chamber of Commerce,0330934426-12,hys_feedback,0,0,0,article,2,Definitions,0.861172,"Defines key terms used throughout the regulation, including 'gatekeeper', 'core platform service', and related digital sector concepts.",ALIGNED,"The organisation explicitly called for clarity on what is meant by a ""platform acting as a gatekeeper,"" and Article 2 directly responds by providing precise legal definitions of 'gatekeeper', 'core platform service', and related terms. This is a clear case where the org made a specific ask (definitional clarity) and the provision delivers it.",2,False
Danish Chamber of Commerce,0330934426-12,hys_feedback,0,0,0,article,3,Designation of gatekeepers,0.866713,"Establishes the criteria and quantitative thresholds for designating providers of core platform services as ""gatekeepers,"" including a notification and designation procedure by the Commission.",ALIGNED,"The organisation explicitly called for clarity on what constitutes a ""platform acting as a gatekeeper,"" and Article 3 directly responds to this by laying out specific, detailed criteria and quantitative thresholds for gatekeeper designation. This is a clear case where the org's specific ask — define what a gatekeeper is — is delivered by the provision.",1,False
Danish Chamber of Commerce,0330934426-12,hys_feedback,0,0,0,article,30,Right to be heard and access to the file,0.84236,"Establishes the right of gatekeepers and undertakings to be heard before the Commission adopts decisions, including access to the file and a minimum 14-day period to submit observations on preliminary findings.",NOISE,"The organisation's text contains only general advocacy for a level playing field, legal certainty, and enforcement of EU rules, with no specific position on procedural rights such as the right to be heard, access to the file, or defence rights in Commission proceedings. The text appears to be cut off and does not address the subject matter of Article 30 at all.",1,False
Danish Chamber of Commerce,0330934426-12,hys_feedback,0,0,0,article,38,Review,0.86241,Requires the Commission to evaluate the Regulation every three years and report on whether additional rules or obligations are needed to ensure contestable and fair digital markets.,NOISE,"The organisation's text expresses general support for a regulatory framework that ensures a level playing field and legal certainty, but does not take any specific advocacy position on the review mechanism or its periodicity. The text is largely introductory and background in nature, with no directional stance on whether or how the Regulation should be reviewed or evaluated.",1,False
Electronic Frontier Foundation (EFF),805637038375-01,hys_feedback,2,2,0,article,10,Updating obligations for gatekeepers,0.870639,Empowers the Commission to adopt delegated acts updating gatekeeper obligations (Articles 5 and 6) based on market investigations identifying new unfair or contestability-limiting practices.,UNDETECTABLE,"The EFF specifically advocates for ex ante interoperability obligations and data portability rights for platforms with significant market power — a concrete directional ask. Article 10 creates a mechanism to update gatekeeper obligations to address unfair or contestability-limiting practices, which could in principle encompass interoperability requirements, but the provision itself does not establish or reference interoperability obligations. It is genuinely unclear whether this updating mechanism would be used to deliver what EFF advocates for, making the direction of alignment ambiguous rather than clear.",1,False
Electronic Frontier Foundation (EFF),805637038375-01,hys_feedback,2,2,0,article,11,Anti-circumvention,0.867999,"Requires gatekeepers to ensure full and effective compliance with core platform obligations, prohibits circumvention through any means, prevents degradation of services for users exercising their rights, and addresses consent requirements for data processing in compliance contexts.",UNDETECTABLE,"The EFF specifically advocates for interoperability obligations and data portability rights for platforms with significant market power, which overlaps with the subject matter of Article 11 (which addresses anti-circumvention of Articles 5 and 6, including data portability and interoperability obligations). However, Article 11 is an anti-circumvention enforcement mechanism rather than a provision that creates or expands interoperability obligations themselves — it prevents gatekeepers from undermining existing obligations. While EFF's position is directionally related (ensuring interoperability and data rights are effective), it is genuinely unclear whether this provision satisfies, contradicts, or simply falls short of EFF's specific asks, as EFF's advocacy focuses on the substance of interoperability mandates rather than their anti-circumvention enforcement.",1,False
Electronic Frontier Foundation (EFF),805637038375-01,hys_feedback,2,2,0,article,5,Obligations for gatekeepers,0.876059,"Article 5(1) establishes a set of specific behavioural obligations for gatekeepers, including restrictions on combining personal data without consent, allowing business users to operate outside gatekeeper platforms, and prohibiting forced bundling of services.",UNDETECTABLE,"The EFF specifically advocates for mandatory interoperability obligations and data portability rights for platforms with significant market power, which is a related but distinct ask from what Article 5 delivers. While Article 5(a) touches on data combination restrictions (partially resonant with EFF's ""no commercial use of data"" position) and Article 5(e)-(f) address some bundling/forced sign-in issues, the provision does not establish the affirmative interoperability mandates or technical interface obligations that EFF explicitly calls for. There is a genuine thematic connection, but it is unclear whether the provision satisfies, contradicts, or simply falls short of EFF's specific advocacy for ex ante interoperability obligations.",1,False
Electronic Frontier Foundation (EFF),805637038375-01,hys_feedback,2,2,0,article,6,Obligations for gatekeepers susceptible of being further specified,0.876561,"Establishes a set of obligations for gatekeepers including data portability for end users, interoperability requirements for third-party software and ancillary services, and restrictions on commercial use of business user data not publicly available.",ALIGNED,"The EFF explicitly advocates for ex ante interoperability obligations, data portability rights, and restrictions on commercial use of data shared for interoperability purposes. The provision directly delivers on all three: Article 6(f) mandates interoperability with operating system/hardware features, Article 6(h) requires effective data portability tools for end users, and Article 6(a) prohibits gatekeepers from using business users' non-public data for their own competitive purposes — closely mirroring EFF's call that interoperability data should not be available for commercial use.",1,False
EuroCommerce,84973761187-60,hys_feedback,0,0,0,article,17,Market investigation into new services and new practices,0.855044,"Empowers the Commission to conduct market investigations into new digital services and practices, potentially expanding the list of core platform services or adding new obligations via delegated acts.",UNDETECTABLE,"EuroCommerce expresses concern that regulatory interventions should be clearly focused, proportionate, and evidence-based, and asks the Commission to explain how proposed measures avoid going beyond what is necessary. Article 17 creates a market investigation mechanism that could expand the regulation's scope — which could be seen as either aligned (evidence-based, targeted expansion) or opposing (broad new powers that may go beyond what is necessary). The org's position is specific enough to connect to this provision, but it is genuinely ambiguous whether the investigation mechanism — with its 24-month timeline and public report — satisfies or contradicts EuroCommerce's proportionality and focus concerns.",3,False
EuroCommerce,84973761187-60,hys_feedback,0,0,0,article,19,Requests for information,0.840761,"Grants the Commission broad powers to request information, access to databases and algorithms from undertakings, either by simple request or by decision, for monitoring, implementing and enforcing the regulation.",NOISE,"The organisation's text focuses on advocating for a risk-based, case-by-case approach to B2B trading practices regulation and limiting regulatory intervention, with no specific stance on the Commission's information-gathering or investigative powers. There is no substantive advocacy position in the org text that relates to the provision's subject of information requests and access to databases/algorithms.",1,False
EuroCommerce,84973761187-60,hys_feedback,0,0,0,article,7,Compliance with obligations for gatekeepers,0.871421,"Establishes a compliance framework requiring gatekeepers to implement effective measures for obligations under Articles 5 and 6, with Commission powers to specify measures if compliance is insufficient, and procedural requirements including timelines and proportionality assessments.",NOISE,"The org text does not express a specific advocacy position on compliance mechanisms, Commission enforcement powers, or procedural timelines for gatekeepers. The passage is largely background context about the scope of the ex ante instrument and references to other submissions, with no directional stance on what Article 7 establishes.",1,False
European Banking Federation,4722660838-23,hys_feedback,0,0,0,article,12,Obligation to inform about concentrations,0.847234,"Requires gatekeepers to inform the Commission of any intended concentration involving providers of core platform services or digital sector services, regardless of whether it meets standard merger notification thresholds.",NOISE,"The EBF's text contains only a general welcome of the Commission's initiative and broad support for addressing gatekeeper issues, with no specific advocacy position on merger notification obligations or concentration reporting requirements. There is no directional stance that can be evaluated against this specific provision.",1,False
European Banking Federation,4722660838-23,hys_feedback,0,0,0,article,3,Designation of gatekeepers,0.867275,"Establishes the criteria and thresholds for designating providers of core platform services as 'gatekeepers' under the Digital Markets Act, including quantitative presumptions and a Commission-led designation procedure.",NOISE,"The EBF's text expresses general agreement that large platforms have outsized effects on the digital economy and raises concerns about data access, but does not take any specific directional stance on the gatekeeper designation criteria, thresholds, or procedure established in Article 3. The position is a general endorsement of the Commission's concern about platform power and a framing of data issues, without advocating for or against any specific element of the designation mechanism.",1,False
European Banking Federation,4722660838-23,hys_feedback,0,0,0,article,8,Suspension,0.870333,"Establishes a mechanism allowing the Commission to suspend, on a gatekeeper's request, specific obligations under Articles 5 and 6 where compliance would endanger the gatekeeper's economic viability due to exceptional circumstances beyond its control.",NOISE,"The EBF's text expresses only a general welcome of the Commission's initiative to regulate large online platforms and acknowledges both their benefits and concerns about fair competition, without taking any specific stance on suspension mechanisms or the conditions under which gatekeepers should be relieved of obligations. There is no directional advocacy position that can be evaluated against this provision.",1,False
European Publishers Council,4456380381-30,hys_feedback,0,0,0,article,32,Digital Markets Advisory Committee,0.842864,"Establishes the Digital Markets Advisory Committee to assist the Commission, defining its procedural rules including written procedures, communication of opinions, and applicable regulation.",NOISE,"The EPC's position focuses on advocating for a combination of prohibited practices and tailor-made remedies under the ex ante regulatory framework, with no mention of or stance on an advisory committee structure. The org text contains no substantive advocacy position related to the establishment or functioning of the Digital Markets Advisory Committee.",1,False
Facebook (Ireland),28666427835-74,hys_feedback,1,1,0,article,19,Requests for information,0.846389,"Establishes the Commission's power to request information, access to databases and algorithms from undertakings by simple request or decision, including prior to opening formal investigations, with specified procedural requirements.",UNDETECTABLE,"Facebook's position advocates for rights of defence, judicial recourse, proportionality tests, and necessity requirements as safeguards in the regulatory framework. Article 19 grants the Commission broad information-gathering powers including access to databases and algorithms, which touches on Facebook's concerns about proportionality and judicial oversight — the provision does include some procedural safeguards (stating purpose, time-limits, right to Court of Justice review) but also grants expansive powers. It is genuinely unclear whether the provision's balance of powers and safeguards satisfies, contradicts, or ignores Facebook's specific advocacy for stronger rights of defence and proportionality constraints.",1,False
Facebook (Ireland),28666427835-74,hys_feedback,1,1,0,article,30,Right to be heard and access to the file,0.843812,"Establishes the right of gatekeepers and undertakings to be heard before Commission decisions, to submit observations, and to access the Commission's file, ensuring full respect of rights of defence in proceedings.",ALIGNED,"Facebook explicitly advocates that ""rights of defence and recourse to an independent judicial authority are cornerstones of frameworks"" and that ""it will be of paramount importance to guarantee such safeguards."" Article 30 directly delivers on this by codifying the right to be heard, the right to submit observations, and full respect of rights of defence — concrete action in exactly the direction Facebook advocated for.",1,False
Facebook (Ireland),28666427835-74,hys_feedback,1,1,0,article,32,Digital Markets Advisory Committee,0.841852,"Establishes the Digital Markets Advisory Committee to assist the Commission, including procedures for obtaining opinions and communicating them alongside individual decisions.",NOISE,"Facebook's position expresses general support for advancing knowledge among regulators and welcomes dialogue at a technical expert level, but does not take any specific stance on the creation, structure, or functioning of an advisory committee. The org text contains no directional advocacy position that can be evaluated against this specific provision.",1,False
Google,03181945560-59,hys_feedback,4,4,0,article,17,Market investigation into new services and new practices,0.85518,"Empowers the Commission to conduct market investigations to add new services to the core platform services list or detect new unfair/anti-contestability practices not covered by the Regulation, with a report due within 24 months.",ALIGNED,"Google explicitly advocates that notions of 'gatekeeper', 'platform', and 'digital' need to be ""robust and flexible"" to account for future innovation, and that new regulations should address issues important for digital markets to function fairly. Article 17's market investigation mechanism directly operationalises this flexibility by creating a dynamic process to expand the scope of the Regulation to new services and new practices — precisely the kind of adaptable, forward-looking framework Google called for.",1,False
Google,03181945560-59,hys_feedback,4,4,0,article,19,Requests for information,0.852473,"Establishes the Commission's power to request information, access to databases and algorithms from undertakings by simple request or decision, including prior to formal investigations, with specified procedural requirements and penalties.",NOISE,"Google's text raises general procedural considerations about the NCT design (deadlines, access to file, rights to be heard, role of courts) without taking a specific directional stance on the Commission's information-gathering powers or access to databases and algorithms. The position is framed as preliminary questions for the Commission to consider rather than a concrete advocacy stance for or against the mechanism established in Article 19.",1,False
Google,03181945560-59,hys_feedback,4,4,0,article,25,Non-compliance,0.84954,"Establishes the procedure for the Commission to adopt a non-compliance decision against a gatekeeper, including preliminary findings, cease-and-desist orders, and closure of investigations.",ALIGNED,"Google explicitly advocates for procedural safeguards in the NCT regime, including defined review phases, the right to be heard, access to file, and the role of EU courts — all of which relate to due process in enforcement proceedings. Article 25 responds to these concerns by establishing a formal non-compliance procedure that includes communicating preliminary findings to the gatekeeper, giving it the opportunity to explain compliance plans, and requiring a formal decision before action is taken, reflecting the procedural protections Google called for.",1,False
Google,03181945560-59,hys_feedback,4,4,0,article,30,Right to be heard and access to the file,0.855672,"Establishes the right of gatekeepers and undertakings to be heard and access the Commission's file before decisions are adopted, including minimum time limits for submitting observations and full respect for rights of defence.",ALIGNED,"Google explicitly raised the question of ""the extent to which affected undertakings would be given access to file and the right to be heard"" as a key design consideration for the new competition tool. Article 30 directly delivers on this by codifying the right to be heard, access to the file, and full respect for rights of defence — precisely the procedural rights Google flagged as warranting consideration. The provision acts in the direction Google advocated for.",1,False
Google,03181945560-59,hys_feedback,4,4,0,article,32,Digital Markets Advisory Committee,0.841832,"Establishes the Digital Markets Advisory Committee to assist the Commission, defining its procedural rules including written procedure, communication of opinions, and applicable regulatory framework.",NOISE,"Google's position focuses on procedural design elements such as statutory deadlines, access to file, rights to be heard, and the role of EU courts — not on the creation or functioning of an advisory committee. The org text contains no substantive advocacy position on the establishment or operation of a Digital Markets Advisory Committee, making this a subject mismatch rather than a genuine connection.",1,False
Google,03181945560-59,hys_feedback,4,4,0,article,36,Implementing provisions,0.844701,"Establishes implementing acts empowering the Commission to define procedural arrangements for investigations, notifications, deadlines, and rights to be heard under the Digital Markets Act.",ALIGNED,"Google explicitly advocates for consideration of procedural rights including ""the right to be heard,"" defined review phases, statutory deadlines, and the role of courts — all of which are directly addressed by Article 36's implementing provisions covering practical arrangements for proceedings, extensions of deadlines, and rights to be heard (Articles 30, 16, 15, etc.). The provision concretely establishes the framework for these procedural elements that Google specifically called for the Commission to design carefully.",1,False
Information Technology Industry Council (ITI),061601915428-87,hys_feedback,0,0,0,article,1,Subject-matter and scope,0.870584,"Establishes the subject matter and scope of the Digital Markets Act, applying harmonised rules to gatekeepers providing core platform services in the Union, while preempting additional Member State obligations and preserving existing competition law frameworks.",NOISE,"The org text is largely introductory and background-setting, expressing general support for a safe and competitive online ecosystem and acknowledging the role of online intermediaries, without taking any specific directional stance on the scope, gatekeeper designation criteria, preemption of national rules, or other concrete elements established by this provision. There is no specific advocacy position that can be evaluated against what Article 1 actually does.",1,False
Information Technology Industry Council (ITI),061601915428-87,hys_feedback,0,0,0,article,10,Updating obligations for gatekeepers,0.867462,"Empowers the Commission to adopt delegated acts to update gatekeeper obligations based on market investigations, targeting practices that limit contestability or are unfair, with criteria for unfairness including disproportionate advantage or weakened contestability.",OPPOSING,"ITI explicitly urges that any limitations on gatekeeper behavior be ""narrowly focused,"" proportionate, and carefully tailored to avoid overbroad instruments — warning against unintended consequences for innovation and business growth. Article 10 creates a broad, open-ended mechanism allowing the Commission to expand gatekeeper obligations via delegated acts based on relatively general criteria (unfairness, contestability), which runs counter to ITI's specific advocacy for narrow, proportionate, and legally certain regulatory instruments.",1,False
Information Technology Industry Council (ITI),061601915428-87,hys_feedback,0,0,0,article,11,Anti-circumvention,0.862779,"Requires gatekeepers to fully and effectively comply with core platform obligations, prohibits circumvention through any contractual, commercial, or technical behaviour, ensures consent processes are not made more burdensome for business users, and prohibits degrading service quality for users exercising their rights.",NOISE,"The organisation's text expresses only general support for carefully considered and appropriately targeted ex ante regulation, without taking any specific directional stance on anti-circumvention mechanisms, consent obligations, or service quality degradation rules. This is broad background commentary and general endorsement language that does not constitute a specific advocacy position that can be evaluated against the provision's concrete requirements.",2,False
Information Technology Industry Council (ITI),061601915428-87,hys_feedback,0,0,0,article,12,Obligation to inform about concentrations,0.85268,"Requires gatekeepers to notify the Commission of any intended concentration involving another provider of core platform services or digital sector services, regardless of whether it meets standard merger notification thresholds, including detailed information about turnover, users, and rationale.",NOISE,"The org text contains only general background statements about ITI's identity, broad support for a safe and competitive online ecosystem, and the role of online intermediaries — it expresses no specific advocacy position on merger notification obligations for gatekeepers. There is no directional stance on whether such a notification requirement should or should not exist, making this boilerplate/general endorsement text with no substantive connection to Article 12.",1,False
Information Technology Industry Council (ITI),061601915428-87,hys_feedback,0,0,0,article,15,Market investigation for designating gatekeepers,0.872401,"Establishes a market investigation procedure for designating gatekeepers, including timelines, preliminary findings, and the application of proportionate obligations to providers not yet entrenched but foreseeably so.",ALIGNED,"ITI explicitly urges the Commission to ensure proportionality, narrow tailoring of obligations, and legal certainty for companies including gatekeepers. Article 15(4) directly reflects this by limiting the obligations applicable to providers not yet entrenched to only those that are ""appropriate and necessary,"" which is a concrete expression of the proportionality principle ITI advocated for. The provision's built-in proportionality safeguard aligns with ITI's specific ask that any limitations be narrowly focused and proportionate to the conduct deemed inappropriate.",1,False
Information Technology Industry Council (ITI),061601915428-87,hys_feedback,0,0,0,article,16,Market investigation into systematic non-compliance,0.872311,"Establishes that the Commission may impose behavioural or structural remedies on gatekeepers found to have systematically infringed obligations, with structural remedies only permitted where no equally effective behavioural remedy exists, and requires proportionality between the remedy and the infringement.",ALIGNED,"ITI explicitly urges that any limitations on behaviour or business practices be ""narrowly focused"" and that the Commission's proposal ""reflect the importance of proportionality for a regulation based on the action or conduct deemed inappropriate."" Article 16 directly embeds proportionality requirements — structural remedies are only permitted where no equally effective behavioural remedy exists, and all remedies must be ""proportionate to the infringement committed"" — which responds to ITI's specific advocacy for proportionality and narrowly tailored remedies.",2,True
Information Technology Industry Council (ITI),061601915428-87,hys_feedback,0,0,0,article,2,Definitions,0.873255,"Defines key terms used throughout the Digital Markets Act regulation, including 'gatekeeper', 'core platform services', and related concepts.",NOISE,"The org text is a general introductory statement expressing broad support for a safe and competitive online ecosystem, without taking any specific directional stance on how gatekeepers or core platform services should be defined. The provision is purely definitional and the org text contains no specific advocacy position on the scope or content of these definitions.",1,False
Information Technology Industry Council (ITI),061601915428-87,hys_feedback,0,0,0,article,22,Interim measures,0.850824,"Empowers the Commission to order interim measures against a gatekeeper on the basis of a prima facie finding of infringement, without a full finding of non-compliance, in cases of urgency.",NOISE,"The ITI text focuses on concerns about ex ante/ex post remedies under the NCT framework and the lack of a dominance requirement, without expressing a specific directional stance on interim measures as a mechanism. The org's position is too general and contextually distinct (NCT roadmap, not DMA interim measures) to constitute specific advocacy for or against this provision.",1,False
Information Technology Industry Council (ITI),061601915428-87,hys_feedback,0,0,0,article,25,Non-compliance,0.853939,"Establishes the procedure for the Commission to adopt non-compliance decisions against gatekeepers who fail to meet obligations, including ordering them to cease and desist and provide compliance explanations.",OPPOSING,"ITI explicitly argues against the Commission applying behavioural and structural remedies without a requirement to demonstrate dominance, and raises concerns about the proportionality of broad ex ante and ex post regulatory interventions targeting gatekeepers. Article 25 establishes a non-compliance enforcement mechanism that can be triggered without any dominance finding, directly contrary to ITI's position that such remedies are unjustified absent a demonstrated infringement and dominance requirement.",1,False
Information Technology Industry Council (ITI),061601915428-87,hys_feedback,0,0,0,article,30,Right to be heard and access to the file,0.841353,"Establishes the right of gatekeepers and undertakings to be heard before the Commission adopts decisions, including access to the file, minimum time limits for observations, and full respect of rights of defence.",NOISE,"The org text contains only general background statements about ITI's identity, broad support for a safe and competitive online environment, and the role of online intermediaries — it expresses no specific advocacy position on procedural rights, rights of defence, or access to file in Commission proceedings. There is no directional stance that can be evaluated against this provision.",1,False
Information Technology Industry Council (ITI),061601915428-87,hys_feedback,0,0,0,article,33,Request for a market investigation,0.840081,Establishes a mechanism by which three or more Member States can request the Commission to open a market investigation into whether a provider of core platform services should be designated as a gatekeeper.,OPPOSING,"ITI explicitly argues that the scope of gatekeeper designation should focus on specific conduct and actions rather than on companies or platform characteristics, and warns against automatically treating platform size or nature as harmful. Article 33 creates a mechanism that expands the reach of gatekeeper designation by allowing Member States to trigger investigations based on the size/nature of a provider's core platform services — precisely the company-centric, status-based approach ITI argues against, rather than the conduct-focused intervention ITI advocates for.",1,False
Information Technology Industry Council (ITI),061601915428-87,hys_feedback,0,0,0,article,38,Review,0.86252,Requires the Commission to periodically evaluate the Regulation every three years and consider whether additional rules or legislative proposals are needed to ensure contestable and fair digital markets.,ALIGNED,"The org explicitly welcomes plans to gather robust stakeholder input and advocates for assessing existing legislation before introducing new obligations, urging policymakers to review existing laws (like P2B) before layering on new requirements. The provision establishes a periodic review mechanism that evaluates whether additional rules are needed — directly institutionalising the kind of evidence-based, assess-before-acting approach the org advocates for. This aligns with the org's position that new obligations should only follow proper evaluation of existing frameworks.",2,False
Information Technology Industry Council (ITI),061601915428-87,hys_feedback,0,0,0,article,7,Compliance with obligations for gatekeepers,0.880585,"Establishes a compliance framework requiring gatekeepers to implement effective measures for Articles 5 and 6 obligations, with Commission power to specify measures and a requirement that such measures be proportionate to the gatekeeper's specific circumstances.",ALIGNED,"ITI explicitly urges that any limitations on gatekeeper behavior be ""narrowly focused"" and that the Commission's proposal ""reflect the importance of proportionality"" tailored to the specific conduct deemed inappropriate. Article 7(5) directly responds to this by requiring that Commission-specified measures be ""effective in achieving the objectives of the relevant obligation and proportionate in the specific circumstances of the gatekeeper and the relevant service,"" which aligns with ITI's specific ask for proportionality and narrowly tailored requirements.",1,False
Information Technology Industry Council (ITI),061601915428-87,hys_feedback,0,0,0,article,8,Suspension,0.876143,Establishes a mechanism allowing gatekeepers to request suspension of specific obligations under Articles 5 and 6 where compliance would endanger their economic viability due to exceptional circumstances beyond their control.,ALIGNED,"ITI explicitly urges the Commission to ensure proportionality, avoid overbroad instruments, and carefully consider the economic impact of obligations on gatekeepers — positions that align with the suspension mechanism, which provides a safety valve precisely when compliance would threaten a gatekeeper's economic viability. The provision directly responds to ITI's call for narrowly tailored, proportionate requirements by creating a relief mechanism tied to economic harm and exceptional circumstances.",1,False
Information Technology Industry Council (ITI),061601915428-87,hys_feedback,0,0,0,article,9,Exemption for overriding reasons of public interest,0.865203,"Establishes a mechanism by which the Commission may exempt a gatekeeper, in whole or in part, from specific obligations under Articles 5 and 6 on grounds of public morality, public health, or public security, including the possibility of provisional suspension.",NOISE,"The organisation's text expresses only general support for carefully considered and appropriately targeted ex ante regulation, with broad references to protecting public interests and consumer welfare. It does not take any specific directional stance on exemption mechanisms, public interest carve-outs, or the grounds under which gatekeepers should be relieved of obligations — making it impossible to evaluate whether the provision responds to any specific advocacy position.",1,False
MEDEF,43763731235-75,hys_feedback,0,0,0,article,1,Subject-matter and scope,0.870909,"Establishes the subject matter and scope of the Digital Markets Act, applying harmonised rules to gatekeepers providing core platform services, while preempting additional Member State obligations and preserving existing competition law frameworks.",UNDETECTABLE,"MEDEF raises a specific concern about the definition of ""gatekeepers"" as a prerequisite condition for effective regulation, warning that an overly broad definition could negatively affect European companies. Article 1 establishes the scope of the regulation (applying to gatekeepers of core platform services) but does not itself define who qualifies as a gatekeeper — that definition appears elsewhere. Additionally, MEDEF's text references the P2B Regulation (2019/1150) and its broader perimeter, which Article 1(6) explicitly preserves, suggesting partial alignment; however, it is genuinely unclear whether the scope as drawn in Article 1 satisfies or contradicts MEDEF's concern about avoiding negative side-effects on European companies through an overly wide definition.",1,False
